SpectraSmart Spectrum 2.12.1.1
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2026/07/22 16:43:04
Spectro-Module Model Name :,EE2063-VNIR
Spectro-Module Serial Number :,OS361AC55037329
Wavelength Start :,350
Wavelength End :,1020
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity
MB Temperature(°C) :,35.74 °C
TEC Temperature(°C) :,0.00 °C
-----------Spectrum Setting ------------
Integration Time :,2000ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
Baseline correction :, disabled
---------------BEGIN--------------------
592.20,       25094.07
592.56,       25169.21
592.92,       25254.33
593.27,       25345.18
593.63,        25435.5
593.99,       25516.47
594.34,       25586.52
594.70,       25649.25
595.06,       25711.62
595.41,       25784.63
595.77,       25869.99
596.12,       25962.42
596.48,       26055.35
596.84,       26138.72
597.19,       26209.02
597.55,       26269.71
597.91,       26321.82
598.26,       26366.81
598.62,       26408.07
598.98,       26447.33
599.33,       26490.09
599.69,       26546.74
600.04,       26619.19
600.40,       26698.66
600.76,       26783.06
601.11,       26879.44
601.47,       26978.44
601.82,       27056.77
602.18,       27117.33
602.54,       27168.44
602.89,       27207.98
603.25,        27260.5
603.60,       27347.02
603.96,       27307.29
604.32,       27466.35
604.67,       27559.97
605.03,       27664.89
605.38,       27749.53
605.74,       27810.63
606.09,       27832.88
606.45,       27835.15
606.80,       27904.07
607.16,       28025.17
607.52,        28082.1
607.87,       28081.16
608.23,       28128.71
608.58,       28229.03
608.94,       28314.06
609.29,       28372.88
609.65,       28466.86
610.00,       28602.93
610.36,       28678.25
610.71,        28651.5
611.07,       28953.79
611.42,        28772.9
611.78,       28816.97
612.13,       28856.61
612.49,       28896.23
612.84,       28935.65
613.20,       29000.08
613.55,       29086.27
613.91,        29154.8
614.26,       29200.96
614.62,       29232.48
614.97,       29254.88
615.33,        29284.4
615.68,       29321.72
616.03,       29347.43
616.39,       29367.16
616.74,       29405.24
617.10,        29463.3
617.45,       29529.95
617.81,       29597.87
618.16,       29658.96
618.52,       29709.49
618.87,       29750.28
619.22,       29784.61
619.58,       29819.58
619.93,       29856.33
620.29,       29888.83
620.64,       29914.26
621.00,       29933.92
621.35,          29949
621.70,       29942.38
622.06,       29949.68
622.41,       29938.99
622.76,       29920.15
623.12,        29897.2
623.47,       29884.87
623.83,       29908.32
624.18,       29969.79
624.53,       30058.09
624.89,       30148.86
625.24,       30209.09
625.59,       30226.79
625.95,       30200.74
626.30,        30153.8
626.66,       30145.61
627.01,       30196.46
627.36,       30273.04
627.72,       30345.24
628.07,       30517.86
628.42,       30506.99
628.78,       30558.74
629.13,       30594.91
629.48,       30620.71
629.84,       30638.92
630.19,       30645.61
630.54,        30660.3
630.89,       30717.59
631.25,       30816.17
631.60,       30928.46
631.95,       31029.32
632.31,       31094.49
632.66,       31116.28
633.01,       31105.13
633.36,       31077.54
633.72,       31102.01
634.07,       31178.54
634.42,       31306.94
634.78,       31464.01
635.13,       31545.83
635.48,        31525.4
635.83,       31691.28
636.19,       31588.52
636.54,        31612.8
636.89,       31634.62
637.24,       31658.38
637.60,       31687.96
637.95,       31740.07
638.30,       31818.27
638.65,       31913.84
639.00,       32009.45
639.36,       32074.47
639.71,        32102.5
640.06,        32103.5
640.41,       32092.36
640.77,       32095.27
641.12,       32119.29
641.47,       32153.32
641.82,       32196.16
642.17,       32245.03
642.53,       32296.88
642.88,       32357.58
643.23,       32408.46
643.58,       32418.87
643.93,       32386.19
