SpectraSmart Spectrum 2.12.1.1	
--------- Device Information -----------	
Spectrum Name : 	??_0
Saving Time : 	2026/7/22 16:43
Spectro-Module Model Name :	EE2063-VNIR
Spectro-Module Serial Number :	OS361AC55037329
Wavelength Start :	350
Wavelength End :	1020
Wavelength Unit :	Wavelength(nm)
Spectrum Unit :	Intensity
MB Temperature(簞C) :	35.75 簞C
TEC Temperature(簞C) :	0.00 簞C
-----------Spectrum Setting ------------	
Integration Time :	2000ms
Average :	1
Boxcar :	0
Background removal :	 enabled
linearity correction :	 enabled
SC :	 disabled
Intensity correction :	 disabled
DWT denoise :	 enabled
savitzky-golay :	 disabled
FFT :	 disabled
Running average :	 disabled
Kalman :	 disabled
High pass :	 disabled
Baseline correction :	 disabled
---------------BEGIN--------------------	
801.19	10607.29
801.52	10587.05
801.85	10586.41
802.19	10599.42
802.52	10615.94
802.85	10629.04
803.18	10635.63
803.52	10628.45
803.85	10599.33
804.18	10546.86
804.51	10472.77
804.85	10385.43
805.18	10299.32
805.51	10220.19
805.84	10147.79
806.18	10079.89
806.51	10010.46
806.84	9939.73
807.17	9872.953
807.51	9814.769
807.84	9771.082
808.17	9742.786
808.5	9725.558
808.83	9716.401
809.17	9711.627
809.5	9706.94
809.83	9699.791
810.16	9683.896
810.49	9650.86
810.82	9598.624
811.16	9529.075
811.49	9447.655
811.82	9363.714
812.15	9282.059
812.48	9203.894
812.81	9129.646
813.15	9058.156
813.48	8990.856
813.81	8930.751
814.14	8882.02
814.47	8849.86
814.8	8834.084
815.13	8830.739
815.46	8833.219
815.79	8831.983
816.13	8822.31
816.46	8803.629
816.79	8776.088
817.12	8741.696
817.45	8700.814
817.78	8652.364
818.11	8595.82
818.44	8530.685
818.77	8458.858
819.1	8384.113
819.43	8310.706
819.76	8243.835
820.09	8186.459
820.42	8139.027
820.75	8102.766
821.08	8078.421
821.41	8065.083
821.75	8061.45
822.08	8063.341
822.41	8064.559
822.74	8061.875
823.07	8053.812
823.4	8041.08
823.73	8026.429
824.06	8009.594
824.38	7988.802
824.71	7960.193
825.04	7918.238
